Provincia;Desempleo
AZUAY;3.3
BOLIVAR;0.9
CAÑAR;3.7
CARCHI;5.9
COTOPAXI;1.7
CHIMBORAZO;2.0
EL ORO;6.0
ESMERALDAS;9.1
GUAYAS;3.6
IMBABURA;7.1
LOJA;3.1
LOS RIOS;1.8
MANABI;2.8
MORONA SANTIAGO;1.3
NAPO;1.5
PASTAZA;1.6
PICHINCHA;8.5
TUNGURAHUA;2.2
ZAMORA CHINCHIPE;3.0
GALAPAGOS;5.6
SUCUMBIOS;4.5
ORELLANA;1.3
SANTO DOMINGO DE LOS TSACHILAS;2.3
SANTA ELENA;2.7
