FID;Shape *;OBJECTID_1;dpa_provin;dpa_despro;cod_zona;dpa_canton;dpa_descan;cod_distri;des_distri;cod_circ;des_circ;cod_postal;Shape_Leng;Shape_Area;Poblacion
335;Poligono;336;13;MANABI;4;1307;JUNIN;13D06;BOLIVAR-JUNIN;13D06C07;JUNIN;130605;64.775.901.758;123.225.053.529;10501
336;Poligono;337;13;MANABI;4;1302;BOLIVAR;13D06;BOLIVAR-JUNIN;13D06C01;CALCETA;130601;34.154.145.686;374.964.163.907;14730
337;Poligono;338;13;MANABI;4;1303;CHONE;13D07;CHONE-FLAVIO ALFARO;13D07C04;CHONE;130701;7.459.203.793;236.950.861.538;20247
338;Poligono;339;13;MANABI;4;1311;PICHINCHA;13D08;PICHINCHA;13D08C06;BARRAGANETE;130806;93.993.783.695;206.755.327.448;2772
339;Poligono;340;13;MANABI;4;1310;PAJAN;13D09;PAJAN;13D09C06;CASCOL;130904;150.945.732.916;429.743.189.405;7192
340;Poligono;341;13;MANABI;4;1310;PAJAN;13D09;PAJAN;13D09C02;CAMPOZANO (LA PALMA DE PAJAN);130903;82.931.183.165;173.288.501.448;5417
341;Poligono;342;13;MANABI;4;1310;PAJAN;13D09;PAJAN;13D09C05;GUALE;130906;7.495.917.031;114.793.878.457;3931
342;Poligono;343;13;MANABI;4;1317;PEDERNALES;13D10;PEDERNALES-JAMA;13D10C02;PEDERNALES;131001;72.784.901.936;126.300.612.869;18121
343;Poligono;344;13;MANABI;4;1317;PEDERNALES;13D10;PEDERNALES-JAMA;13D10C07;ATAHUALPA;131006;6.707.868.621;168.637.698.455;2568
344;Poligono;345;13;MANABI;4;1317;PEDERNALES;13D10;PEDERNALES-JAMA;13D10C06;10 DE AGOSTO;131007;72.288.980.026;233188874.3;5212
345;Poligono;346;13;MANABI;4;1305;FLAVIO ALFARO;13D07;CHONE-FLAVIO ALFARO;13D07C19;ZAPALLO;130712;56.553.243.947;102.136.293.168;3689
346;Poligono;347;13;MANABI;4;1310;PAJAN;13D09;PAJAN;13D09C03;CAMPOZANO (LA PALMA DE PAJAN);130902;60.919.524.355;735.599.528.878;3090
347;Poligono;348;13;MANABI;4;1309;MONTECRISTI;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C19;MONTECRISTI;130218;13.356.854.986;60.745.490.005;3209
348;Poligono;349;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C10;MANTA;130206;8.816.320.455;33.838.716.659;31897
349;Poligono;350;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C02;MANTA;130205;7.048.975.654;266.744.129.306;14301
350;Poligono;351;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C01;MANTA;130204;8.952.623.766;294.252.259.984;11760
351;Poligono;352;13;MANABI;4;1320;JAMA;13D10;PEDERNALES-JAMA;13D10C09;JAMA;131009;85.165.761.908;235.738.163.567;5695
352;Poligono;353;13;MANABI;4;1314;SUCRE;13D11;SUCRE-SAN VICENTE;13D11C01;BAHIA DE CARAQUEZ;131101;24.505.975.426;552.508.160.092;20724
353;Poligono;354;13;MANABI;4;1314;SUCRE;13D11;SUCRE-SAN VICENTE;13D11C02;BAHIA DE CARAQUEZ;131103;91.062.097.243;178.142.445.932;5534
354;Poligono;355;13;MANABI;4;1314;SUCRE;13D11;SUCRE-SAN VICENTE;13D11C03;CHARAPOTO;131106;79.126.825.156;215548965.3;20060
355;Poligono;356;13;MANABI;4;1322;SAN VICENTE;13D11;SUCRE-SAN VICENTE;13D11C05;SAN VICENTE;131102;101.609.565.364;322.754.813.734;15290
356;Poligono;357;13;MANABI;4;1322;SAN VICENTE;13D11;SUCRE-SAN VICENTE;13D11C06;CANOA;131104;96.241.259.346;385.950.454.146;6735
357;Poligono;358;13;MANABI;4;1314;SUCRE;13D11;SUCRE-SAN VICENTE;13D11C04;SAN ISIDRO;131105;109.364.184.367;277.955.771.604;10987
358;Poligono;359;13;MANABI;4;1312;ROCAFUERTE;13D12;ROCAFUERTE-TOSAGUA;13D12C01;ROCAFUERTE;131201;50.440.453.734;102.574.116.238;27079
359;Poligono;360;13;MANABI;4;1312;ROCAFUERTE;13D12;ROCAFUERTE-TOSAGUA;13D12C02;ROCAFUERTE;131202;76.573.717.108;177208389.1;6385
360;Poligono;361;13;MANABI;4;1315;TOSAGUA;13D12;ROCAFUERTE-TOSAGUA;13D12C04;TOSAGUA;131203;69.096.814.398;146442743.1;14504
361;Poligono;362;13;MANABI;4;1315;TOSAGUA;13D12;ROCAFUERTE-TOSAGUA;13D12C03;TOSAGUA;131204;73.557.687.212;103.079.359.651;13342
362;Poligono;363;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C07;PORTOVIEJO;130114;30.659.433.027;35762754.66;15783
363;Poligono;364;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C08;PORTOVIEJO;130115;43.380.278.493;492.685.020.312;7660
364;Poligono;365;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C10;CRUCITA;130119;54.673.559.587;62.303.657.999;13998
365;Poligono;366;13;MANABI;4;1305;FLAVIO ALFARO;13D07;CHONE-FLAVIO ALFARO;13D07C17;FLAVIO ALFARO;130718;102.003.933.538;320.177.453.204;3127
366;Poligono;367;13;MANABI;4;1311;PICHINCHA;13D08;PICHINCHA;13D08C04;SAN SEBASTIAN;130801;70.748.930.177;142.419.288.477;5264
367;Poligono;368;13;MANABI;4;1311;PICHINCHA;13D08;PICHINCHA;13D08C03;PICHINCHA;130802;88.821.225.715;136.108.968.691;8342
368;Poligono;369;13;MANABI;4;1317;PEDERNALES;13D10;PEDERNALES-JAMA;13D10C03;PEDERNALES;131002;79.591.996.997;141.355.266.171;10454
369;Poligono;370;13;MANABI;4;1304;EL CARMEN;13D05;EL CARMEN;13D05C04;EL CARMEN;130505;7.513.262.879;117.532.903.278;6881
370;Poligono;371;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C04;PORTOVIEJO;130106;29.271.732.828;190.739.469.304;4995
371;Poligono;372;13;MANABI;4;1303;CHONE;13D07;CHONE-FLAVIO ALFARO;13D07C14;CHIBUNGA;130719;158.500.062.429;570.712.263.915;6365
372;Poligono;373;13;MANABI;4;1310;PAJAN;13D09;PAJAN;13D09C01;PAJAN;130901;73.035.470.717;153.692.987.964;12266
373;Poligono;374;13;MANABI;4;1303;CHONE;13D07;CHONE-FLAVIO ALFARO;13D07C07;CONVENTO;130715;104.737.982.902;303.654.845.437;6574
374;Poligono;375;13;MANABI;4;1305;FLAVIO ALFARO;13D07;CHONE-FLAVIO ALFARO;13D07C18;SAN FCO. DE NOVILLO (CAB EN NOVILLO);130717;94.538.879.727;261.325.572.974;2780
375;Poligono;376;13;MANABI;4;1305;FLAVIO ALFARO;13D07;CHONE-FLAVIO ALFARO;13D07C16;FLAVIO ALFARO;130716;90.476.852.852;220.641.618.317;10265
376;Poligono;377;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C08;MANTA;130207;710.272.431;221.081.867.146;13552
377;Poligono;378;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C03;PORTOVIEJO;130101;8.456.763.108;288.170.557.124;19068
378;Poligono;379;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C06;PORTOVIEJO;130109;12.769.482.389;580.317.131.219;14534
379;Poligono;380;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C05;PORTOVIEJO;130110;17.470.063.944;133.007.324.171;5432
380;Poligono;381;13;MANABI;4;1301;PORTOVIEJO;13D01;PORTOVIEJO;13D01C06;PORTOVIEJO;130103;7.868.817.417;184.090.932.367;15295
381;Poligono;382;13;MANABI;4;1309;MONTECRISTI;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C15;MONTECRISTI;130223;136.835.629.204;481.226.727.695;12668
382;Poligono;383;13;MANABI;4;1306;JIPIJAPA;13D03;JIPIJAPA-PUERTO LOPEZ;13D03C04;JIPIJAPA;130304;5.956.838.741;147.653.587.196;3229
383;Poligono;384;13;MANABI;4;1317;PEDERNALES;13D10;PEDERNALES-JAMA;13D10C01;PEDERNALES;131005;143.697.642.353;498.075.352.261;5036
384;Poligono;385;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C02;MANTA;130203;5.306.403.522;149.675.919.905;9745
385;Poligono;386;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C09;MANTA;130208;9.331.471.741;323.536.741.001;6490
386;Poligono;387;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C09;MANTA;130209;5.776.384.899;194.517.801.974;18876
387;Poligono;388;13;MANABI;4;1306;JIPIJAPA;13D03;JIPIJAPA-PUERTO LOPEZ;13D03C03;JIPIJAPA;130306;25.576.467.296;247.108.311.884;1356
388;Poligono;389;13;MANABI;4;1306;JIPIJAPA;13D03;JIPIJAPA-PUERTO LOPEZ;13D03C03;JIPIJAPA;130301;4.347.309.167;108.035.378.392;4415
389;Poligono;390;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C08;MANTA;130201;5.339.437.564;13.347.089.714;13553
390;Poligono;391;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C05;MANTA;130216;8.023.902.573;298.517.523.577;5020
391;Poligono;392;13;MANABI;4;1308;MANTA;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C11;MANTA;130219;23.973.047.141;198.370.117.601;8484
392;Poligono;393;13;MANABI;4;1309;MONTECRISTI;13D02;MANTA-MONTECRISTI-JARAMIJO;13D02C17;MONTECRISTI;130213;13.488.378.946;632.540.255.664;14312
393;Poligono;394;13;MANABI;4;1315;TOSAGUA;13D12;ROCAFUERTE-TOSAGUA;13D12C05;ANGEL PEDRO GILER (LA ESTANCILLA)-BACHILLERO;131205;93.534.519.457;126.525.870.041;10170
394;Poligono;395;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C05;TURUBAMBA;170705;9.292.927.207;348.425.286.751;19645
395;Poligono;396;17;PICHINCHA;9;1701;QUITO;17D05;CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-Iâ€žAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA;17D05C10;Iâ€žAQUITO;170504;20.151.029.092;106.777.882.879;20531
396;Poligono;397;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C06;LA ECUATORIANA;170708;8.819.537.388;18.043.735.703;20284
397;Poligono;398;17;PICHINCHA;9;1701;QUITO;17D05;CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-Iâ€žAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA;17D05C11;COCHAPAMBA;170514;15.015.152.723;410.405.187.957;31453
398;Poligono;399;17;PICHINCHA;9;1701;QUITO;17D04;PUENGASI, CENTRO HISTORICO, SAN JUAN, LA LIBERTAD, ITCHIMBIA;17D04C01;PUENGASI;170409;14.717.144.723;279.756.966.445;16377
399;Poligono;400;17;PICHINCHA;9;1701;QUITO;17D06;CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA;17D06C09;LLOA;170614;125.954.062.076;540.282.327.766;1494
400;Poligono;401;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C05;TURUBAMBA;170710;16.102.656.182;864.983.810.524;6069
401;Poligono;402;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C02;GUAMANI;170711;9.545.883.404;367.721.436.612;10492
402;Poligono;403;17;PICHINCHA;9;1701;QUITO;17D05;CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-Iâ€žAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA;17D05C03;BELISARIO QUEVEDO;170513;10.863.837.367;342.033.689.621;30223
403;Poligono;404;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C02;GUAMANI;170706;9.039.648.917;199.910.680.104;11739
404;Poligono;405;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C04;QUITUMBE;170703;1.283.066.095;609.265.711.476;44241
405;Poligono;406;17;PICHINCHA;9;1701;QUITO;17D05;CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-Iâ€žAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA;17D05C02;MARISCAL SUCRE;170512;7.792.219.798;279.203.851.561;12980
406;Poligono;407;17;PICHINCHA;9;1701;QUITO;17D03;PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN;17D03C15;POMASQUI;170313;30.078.580.279;186.012.423.235;6063
407;Poligono;408;17;PICHINCHA;9;1701;QUITO;17D03;PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN;17D03C02;ATAHUALPA (HABASPAMBA)-CHAVEZPAMBA-PERUCHO;170319;58.298.392.004;919.321.720.881;3492
408;Poligono;409;17;PICHINCHA;9;1701;QUITO;17D03;PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN;17D03C01;PUELLARO;170316;44.980.577.127;707.780.034.927;5488
409;Poligono;410;17;PICHINCHA;9;1701;QUITO;17D03;PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN;17D03C11;SAN ANTONIO;170315;62.513.714.749;955.070.132.407;15161
410;Poligono;411;17;PICHINCHA;9;1701;QUITO;17D02;CALDERON-LLANO CHICO-GUAYLLABAMBA;17D02C06;CALDERON (CARAPUNGO);170207;28.357.711.791;20.517.927.897;2423
411;Poligono;412;17;PICHINCHA;9;1701;QUITO;17D02;CALDERON-LLANO CHICO-GUAYLLABAMBA;17D02C01;CALDERON (CARAPUNGO);170208;18.293.778.062;117.767.279.808;26194
412;Poligono;413;17;PICHINCHA;2;1708;PEDRO VICENTE MALDONADO;17D12;SAN MIGUEL DE LOS BANCOS-PEDRO VICENTE MALDONADO-PUERTO QUITO;17D12C01;PEDRO VICENTE MALDONADO;171201;140.536.278.549;623334281.5;12924
413;Poligono;414;17;PICHINCHA;9;1701;QUITO;17D03;PUELLARO-CHAVEZPAMBA-ATAHUALPA-S.J MINAS-PERUCHO-EL CONDADO-PONCEANO-SAN ANTONIO-NONO-COTOCOLLAO-POMASQUI-CALACALI-COMITE DEL PUEBLO-CARCELEN;17D03C14;POMASQUI;170310;14.633.829.066;50.398.509.219;22853
414;Poligono;415;17;PICHINCHA;9;1701;QUITO;17D05;CONCEPCION-MARISCAL SUCRE-BELISARIO QUEVEDO-SAN ISIDRO DEL INCA-RUMIPAMBA-KENNEDY-NAYON-Iâ€žAQUITO-COCHAPAMBA-JIPIJAPA-ZAMBIZA;17D05C09;NAYON;170511;23.915.876.583;158.814.588.709;15333
415;Poligono;416;17;PICHINCHA;9;1701;QUITO;17D08;CONOCOTO-PINTAG-AMAGUAâ€žA-ALANGASI-GUANGOPOLO-LA MERCED;17D08C04;PINTAG;170811;70.325.622.828;819.919.882.201;15119
416;Poligono;417;17;PICHINCHA;9;1701;QUITO;17D09;TUMBACO-CUMBAYA-PIFO-YARUQUI-EL QUINCHE-PUEMBO-CHECA-TABABELA;17D09C04;CUMBAYA;170904;19.199.366.612;132.381.910.938;19818
417;Poligono;418;17;PICHINCHA;9;1701;QUITO;17D02;CALDERON-LLANO CHICO-GUAYLLABAMBA;17D02C08;CALDERON (CARAPUNGO);170205;12.715.902.601;564.916.018.526;13028
418;Poligono;419;17;PICHINCHA;9;1701;QUITO;17D01;NANEGAL-PACTO-GUALEA- NANEGALITO;17D01C01;PACTO;170101;86.615.812.647;345.817.579.189;4800
419;Poligono;420;17;PICHINCHA;9;1701;QUITO;17D01;NANEGAL-PACTO-GUALEA- NANEGALITO;17D01C03;NANEGAL;170103;86.638.603.669;245.090.651.295;2636
420;Poligono;421;17;PICHINCHA;9;1701;QUITO;17D04;PUENGASI, CENTRO HISTORICO, SAN JUAN, LA LIBERTAD, ITCHIMBIA;17D04C02;PUENGASI;170410;8.431.559.721;305.106.968.554;26182
421;Poligono;422;17;PICHINCHA;9;1701;QUITO;17D04;PUENGASI, CENTRO HISTORICO, SAN JUAN, LA LIBERTAD, ITCHIMBIA;17D04C05;SAN JUAN;170411;20.226.193.535;151.875.088.651;7463
422;Poligono;423;17;PICHINCHA;9;1701;QUITO;17D07;CHILLOGALLO-GUAMANI-QUITUMBE-TURUBAMBA-LA ECUATORIANA;17D07C05;TURUBAMBA;170709;10.393.547.853;368.904.771.055;15732
423;Poligono;424;17;PICHINCHA;9;1701;QUITO;17D06;CHILIBULO-SAN BORTOLO-CHIMBACALLE-LA ARGELIA-SOLANDA-LLOA-LA MENA-LA MAGDALENA-LA FERROVIARIA;17D06C04;CHIMBACALLE;170603;8.913.853.307;27.533.240.493;44665
424;Poligono;425;90;LAS GOLONDRINAS;0;9001;LAS GOLONDRINAS;00D00;LAS GOLONDRINAS;00D00C02;LAS GOLONDRINAS;900004;116.850.907.147;127.961.818.489;5302
425;Poligono;426;24;SANTA ELENA;5;2402;LA LIBERTAD;24D02;LA LIBERTAD-SALINAS;24D02C02;LA LIBERTAD;240204;9.333.321.789;41.935.080.517;32353
426;Poligono;427;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C10;MANGLARALTO;240111;9.409.452.868;197.812.174.668;24011
427;Poligono;428;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C06;COLONCHE;240110;118.282.067.665;401.188.526.407;8943
428;Poligono;429;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C05;SANTA ELENA;240104;133.125.817.672;518.298.717.536;13563
429;Poligono;430;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C03;SAN JOSE DE ANCON-ATAHUALPA;240106;72.419.646.538;143.493.129.689;10409
430;Poligono;431;24;SANTA ELENA;5;2402;LA LIBERTAD;24D02;LA LIBERTAD-SALINAS;24D02C03;LA LIBERTAD;240203;8.273.835.844;293.652.069.817;23411
431;Poligono;432;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C07;COLONCHE;240107;120.219.689.735;449.780.252.436;10480
432;Poligono;433;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C01;CHANDUY;240105;179.411.756.407;773.843.382.196;16363
433;Poligono;434;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C02;SIMON BOLIVAR (JULIO MORENO);240108;13.392.036.366;573243562.9;3296
434;Poligono;435;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C08;COLONCHE;240109;140.607.743.079;299.204.634.978;11932
435;Poligono;436;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C09;MANGLARALTO;240112;87.413.575.141;229.806.449.695;5470
436;Poligono;437;24;SANTA ELENA;5;2403;SALINAS;24D02;LA LIBERTAD-SALINAS;24D02C07;JOSE LUIS TAMAYO (MUEY);240207;36.576.522.675;345.915.815.873;21855
437;Poligono;438;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C04;SANTA ELENA;240103;19.116.045.154;657.518.677.499;14055
438;Poligono;439;24;SANTA ELENA;5;2403;SALINAS;24D02;LA LIBERTAD-SALINAS;24D02C08;ANCONCITO;240208;20.213.326.182;920.294.607.686;11821
439;Poligono;440;24;SANTA ELENA;5;2402;LA LIBERTAD;24D02;LA LIBERTAD-SALINAS;24D02C04;LA LIBERTAD;240202;19.746.289.817;118.204.152.603;20730
440;Poligono;441;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C04;SANTA ELENA;240101;12.985.617.191;722.413.648.094;16327
441;Poligono;442;24;SANTA ELENA;5;2402;LA LIBERTAD;24D02;LA LIBERTAD-SALINAS;24D02C01;LA LIBERTAD;240201;14.887.914.337;649.145.098.442;19139
442;Poligono;443;24;SANTA ELENA;5;2401;SANTA ELENA;24D01;SANTA ELENA;24D01C04;SANTA ELENA;240102;9.827.817.045;444.967.374.028;9148
443;Poligono;444;18;TUNGURAHUA;3;1801;AMBATO;18D02;HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA;18D02C04;AMBATO;180205;9.828.495.548;360.618.268.267;16292
444;Poligono;445;18;TUNGURAHUA;3;1801;AMBATO;18D01;AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO;18D01C05;AMBATO;180105;2.058.077.194;468.581.392.107;10966
445;Poligono;446;18;TUNGURAHUA;3;1801;AMBATO;18D02;HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA;18D02C05;AMBATO;180207;17.460.009.003;801.963.201.818;4843
446;Poligono;447;18;TUNGURAHUA;3;1801;AMBATO;18D02;HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA;18D02C06;AMBATO;180208;11.113.925.953;57.384.063.036;5660
447;Poligono;448;18;TUNGURAHUA;3;1801;AMBATO;18D01;AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO;18D01C04;AMBATO;180104;13.192.436.793;279.463.932.728;11536
448;Poligono;449;18;TUNGURAHUA;3;1801;AMBATO;18D02;HUACHI GRANDE-JUAN BENIGNO VELA-MONTALVO-PICAIGUA-PILAHUIN-SANTA ROSA-TOTORAS-CELIANO MONGE-HUACHI CHICO-HUACHI LORETO-PISHILATA;18D02C07;AMBATO;180201;7.242.473.002;272.185.558.867;19763
449;Poligono;450;18;TUNGURAHUA;3;1801;AMBATO;18D01;AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO;18D01C06;AMBATO;180102;11.613.501.276;212.417.455.807;8826
450;Poligono;451;18;TUNGURAHUA;3;1801;AMBATO;18D01;AUGUSTO N. MARTINEZ-CONSTATINO FERNANDEZ-CUNCHIBAMBA-IZAMBA-PASA-QUISAPINCHA-SAN BARTOLOME DE PINLLO-SAN FERNANDO-UNAMUNCHO-AMBATILLO-ATAHUALPA-LA PENINSULA-LA MERCED-ATOCHA FICOA-LA MATRIZ-SAN FRANCISCO;18D01C01;AMBATO;180103;6.025.092.216;111.395.442.405;7868
451;Poligono;466;14;MORONA SANTIAGO;6;1401;MORONA;14D01;MORONA;14D01C07;CUCHAENTZA;140107;116.974.965.098;355.222.478.677;1786
452;Poligono;467;1;AZUAY;6;101;CUENCA;01D01;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAâ€žARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;01D01C08;CUENCA_HERMANO MIGUEL;10112;15.227.779.007;599.469.653.527;19484
453;Poligono;468;1;AZUAY;6;101;CUENCA;01D01;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAâ€žARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;01D01C19;OCTAVIO CORDERO PALACIOS (STA. ROSA)-SIDCAY;10119;3.133.800.528;373.626.473.558;6239
454;Poligono;469;1;AZUAY;6;101;CUENCA;01D01;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAâ€žARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;01D01C17;RICAURTE-LLACAO;10120;35.398.169.999;307.614.018.705;24354
455;Poligono;470;1;AZUAY;6;102;GIRON;01D03;GIRON-PUCARA-SAN FERNANDO-SANTA ISABEL;01D03C01;GIRON-SAN GERARDO-ASUNCION;10303;127.941.208.136;350.314.948.417;12608
456;Poligono;471;1;AZUAY;6;101;CUENCA;01D01;NULTI-PACCHA-RICAURTE-LLACAO-SIDCAY-OCTAVIO PALACIOS-CHECA-CHIQUINTAD-SININCAY-SAN JOAQUIN-SAYAUSI-MACHANGARA-HMNO MIGUEL-EL VECINO-TOTORACOCHA-CAâ€žARIBAMBA-SAN BLAS-EL SAGRARIO-GIL RAMIREZ DAVALOS-BELLAVISTA;01D01C03;CUENCA_BELLAVISTA;10110;12.730.444.504;206.525.762.035;11512
